 ,,,"Cust
Pounds",,,,,,,Case Dimensions,,,Pallet Info,
Customer group,Mat'l,Yr/Mo,12/2019,01/2020,02/2020,TI/HI,PLT QTY,Net Weight ,Gross Weight,H,L,W,Gross Weight (65lb per pallet),Pallet Height in Inches (5in per plt)
HANNAFORD DAIRY,172262,PEPPER JACK SHR 12/8 OZ ZSUP HANN,"2,880 ","2,868 ","2,160 ",15X08,120,6,6.83,5.418,15.677,7.927,  884.60 ,  48.344 
HANNAFORD DAIRY,172263,NY SHARP CHED W BAR 12/8 OZ HANN,"8,250 ","6,600 ","4,950 ",25X11,275,6,6.38,3.98,10.865,6.615,"  1,819.50 ",  48.780 
HANNAFORD DAIRY,173325,MOZZ LMWM SHR 12/16 OZ ZSUP HANN,"42,204 ","47,352 ","35,136 ",12X05,60,12,13.05,7.14,15.82,9.82,  848.00 ,  40.700 
HANNAFORD DAIRY,173607,PEP JACK PNUT RAIS SNKR 4/3/1.5 OZ HANN,"1,674 ","1,395 ","1,941 ",31X08,248,1.125,1.564,5.265,8.82,6.695,  452.87 ,  47.120 
HANNAFORD DAIRY,173608,SHARP C CSHEW CRAN SNKR 4/3/1.5 OZ HANN,"1,965 ","1,674 ","2,499 ",31X08,248,1.125,1.564,5.265,8.82,6.695,  452.87 ,  47.120 
HANNAFORD DAIRY,173609,SHARP W ALMD CCRAN SNKR 4/3/1.5 OZ HANN,"2,004 ","2,511 ","2,790 ",31X08,248,1.125,1.564,5.265,8.82,6.695,  452.87 ,  47.120 
HANNAFORD DAIRY,174194,SHARP CHED W SLC 12/16 OZ TWPK ZIP HANN,"4,020 ","4,032 ","4,032 ",16X07,112,12,12.97,5.625,13,8.74,"  1,517.64 ",  44.375 
HANNAFORD DAIRY,174208,COLBY JACK SNACK STK 12/9 OZ ZSUP HANN,"3,260 ","3,240 ","4,860 ",15X08,120,6,7.25,5.418,15.677,7.927,  935.00 ,  48.344 
HANNAFORD DAIRY,174210,SHARP CHED W SNACK STK 12/9 OZ ZSUP HANN,"3,240 ","3,240 ","4,860 ",15X08,120,6,7.25,5.418,15.677,7.927,  935.00 ,  48.344 
HANNAFORD DAIRY,174256,MEX THICK SHR 12/8 OZ ZSUP HANN,"5,040 ","5,040 ","5,034 ",15X08,120,6,6.76,5.418,15.677,7.927,  876.20 ,  48.344 
